longitude,latitude,Yield,crop,season
286.75,-41.25,26.728754,maize,major
286.75,-40.75,25.878883,maize,major
287.25,-40.75,26.511133,maize,major
296.75,-40.75,1.5491292,maize,major
286.75,-40.25,22.42649,maize,major
287.25,-40.25,25.934479,maize,major
287.75,-40.25,23.51557,maize,major
297.25,-40.25,1.5063618,maize,major
287.25,-39.75,28.445969,maize,major
294.25,-39.75,1.6361465,maize,major
297.25,-39.75,3.1482484,maize,major
293.75,-39.25,2.2827773,maize,major
294.25,-39.25,4.772708,maize,major
296.75,-39.25,1.680698,maize,major
297.25,-39.25,3.0330148,maize,major
291.75,-38.75,5.321896,maize,major
296.75,-38.75,1.7943265,maize,major
297.25,-38.75,2.137928,maize,major
298.75,-38.75,3.1134915,maize,major
295.75,-38.25,1.6545366,maize,major
296.25,-38.25,2.5348744,maize,major
296.75,-38.25,2.3089528,maize,major
297.25,-38.25,2.6811724,maize,major
297.75,-38.25,3.3102026,maize,major
298.25,-38.25,3.792108,maize,major
298.75,-38.25,4.1044207,maize,major
299.25,-38.25,5.284448,maize,major
299.75,-38.25,5.5536323,maize,major
300.25,-38.25,5.7555356,maize,major
300.75,-38.25,5.731404,maize,major
301.25,-38.25,5.6516685,maize,major
286.75,-37.75,28.482483,maize,major
287.25,-37.75,25.979696,maize,major
287.75,-37.75,26.066027,maize,major
288.25,-37.75,28.817934,maize,major
295.75,-37.75,2.475035,maize,major
296.25,-37.75,2.9825146,maize,major
296.75,-37.75,2.9073555,maize,major
297.25,-37.75,2.8317246,maize,major
297.75,-37.75,4.977091,maize,major
298.25,-37.75,6.440973,maize,major
298.75,-37.75,5.564922,maize,major
299.25,-37.75,4.886736,maize,major
299.75,-37.75,5.810923,maize,major
300.25,-37.75,5.377301,maize,major
300.75,-37.75,6.054914,maize,major
301.25,-37.75,6.4700623,maize,major
301.75,-37.75,7.0991154,maize,major
287.25,-37.25,25.430893,maize,major
287.75,-37.25,25.351587,maize,major
288.25,-37.25,22.391424,maize,major
294.75,-37.25,2.1347554,maize,major
295.25,-37.25,2.6809535,maize,major
295.75,-37.25,3.3025415,maize,major
296.25,-37.25,4.5732584,maize,major
296.75,-37.25,3.721388,maize,major
297.25,-37.25,4.23169,maize,major
297.75,-37.25,6.1598034,maize,major
298.25,-37.25,6.5074587,maize,major
298.75,-37.25,6.033299,maize,major
299.25,-37.25,6.156156,maize,major
299.75,-37.25,7.118987,maize,major
300.25,-37.25,7.385108,maize,major
300.75,-37.25,7.9905424,maize,major
301.25,-37.25,7.885199,maize,major
301.75,-37.25,8.706446,maize,major
302.25,-37.25,8.33613,maize,major
143.25,-36.75,1.5764012,maize,major
143.75,-36.75,2.1804006,maize,major
287.75,-36.75,20.933561,maize,major
288.25,-36.75,22.092129,maize,major
294.75,-36.75,3.14155,maize,major
295.25,-36.75,3.90865,maize,major
295.75,-36.75,5.37001,maize,major
296.25,-36.75,6.095823,maize,major
296.75,-36.75,6.382431,maize,major
297.25,-36.75,6.97765,maize,major
297.75,-36.75,6.7371073,maize,major
298.25,-36.75,6.0077314,maize,major
298.75,-36.75,6.2122984,maize,major
299.25,-36.75,6.0098248,maize,major
299.75,-36.75,7.1997457,maize,major
300.25,-36.75,7.9794064,maize,major
300.75,-36.75,8.444865,maize,major
301.25,-36.75,8.602855,maize,major
301.75,-36.75,8.990149,maize,major
302.25,-36.75,8.726939,maize,major
302.75,-36.75,7.9288883,maize,major
143.25,-36.25,1.1345865,maize,major
143.75,-36.25,1.222209,maize,major
144.25,-36.25,1.6044588,maize,major
287.75,-36.25,13.636828,maize,major
288.25,-36.25,20.88557,maize,major
294.25,-36.25,3.3086069,maize,major
